filename,best_thr,best_iou,time_s
001_image.png,,,0.022
002_image.png,,,0.013
003_image.png,,,0.013
004_image.png,,,0.013
005_image.png,,,0.014
006_image.png,,,0.015
007_image.png,,,0.012
008_image.png,,,0.012
009_image.png,,,0.011
010_image.png,,,0.022
011_image.png,,,0.015
012_image.png,,,0.017
013_image.png,,,0.020
014_image.png,,,0.014
015_image.png,,,0.012
016_image.png,,,0.021
017_image.png,,,0.016
018_image.png,,,0.010
019_image.png,,,0.012
020_image.png,,,0.016
021_image.png,,,0.016
022_image.png,,,0.011
023_image.png,,,0.012
024_image.png,,,0.012
025_image.png,,,0.014
026_image.png,,,0.014
027_image.png,,,0.014
028_image.png,,,0.012
029_image.png,,,0.017
030_image.png,,,0.014
031_image.png,,,0.020
032_image.png,,,0.010
033_image.png,,,0.018
034_image.png,,,0.009
035_image.png,,,0.026
036_image.png,,,0.011
037_image.png,,,0.010
038_image.png,,,0.016
039_image.png,,,0.025
040_image.png,,,0.025
041_image.png,,,0.014
042_image.png,,,0.020
043_image.png,,,0.018
044_image.png,,,0.023
045_image.png,,,0.026
046_image.png,,,0.011
047_image.png,,,0.027
048_image.png,,,0.015
049_image.png,,,0.021
050_image.png,,,0.019
051_image.png,,,0.025
052_image.png,,,0.022
053_image.png,,,0.012
054_image.png,,,0.015
055_image.png,,,0.013
056_image.png,,,0.013
057_image.png,,,0.011
058_image.png,,,0.012
059_image.png,,,0.017
060_image.png,,,0.021
